seqnames	start	end	width	strand	transcript_id	gene_name
chr1	11873	11874	1	+	NR_046018.2	DDX11L1
chr1	30365	30366	1	+	NR_036051.1	MIR1302-2
chr1	69090	69091	1	+	NM_001005484.1	OR4F5
chr1	323891	323892	1	+	NR_028322.1	LOC100132287
chr1	367658	367659	1	+	NM_001005221.2	OR4F29
chr1	752750	752751	1	+	NR_103536.1	FAM87B
chr1	762970	762971	1	+	NR_047524.1	LINC01128
chr1	861120	861121	1	+	NM_152486.2	SAMD11
chr1	895966	895967	1	+	NM_198317.2	KLHL17
chr1	901876	901877	1	+	NM_032129.2	PLEKHN1
chr1	948846	948847	1	+	NM_005101.3	ISG15
chr1	955502	955503	1	+	NM_198576.3	AGRN
chr1	1072396	1072397	1	+	NR_038869.1	LINC01342
chr1	1102483	1102484	1	+	NR_029639.1	MIR200B
chr1	1103242	1103243	1	+	NR_029834.1	MIR200A
chr1	1104384	1104385	1	+	NR_029957.1	MIR429
chr1	1109285	1109286	1	+	NM_001130045.1	TTLL10
chr1	1167628	1167629	1	+	NM_080605.3	B3GALT6
chr1	1215815	1215816	1	+	NR_037668.2	SCNN1D
chr1	1243959	1243960	1	+	NR_144369.1	PUSL1
chr1	1260142	1260143	1	+	NM_001029885.1	CPTP
chr1	1266725	1266726	1	+	NM_152228.2	TAS1R3
chr1	1334909	1334910	1	+	NR_015434.1	LOC148413
chr1	1361507	1361508	1	+	NM_001146685.1	TMEM88B
chr1	1370902	1370903	1	+	NM_199121.2	VWA1
chr1	1385068	1385069	1	+	NM_001039211.2	ATAD3C
chr1	1407134	1407135	1	+	NM_031921.5	ATAD3B
chr1	1447522	1447523	1	+	NM_001170535.1	ATAD3A
chr1	1550794	1550795	1	+	NM_001170687.1	MIB2
chr1	1567559	1567560	1	+	NM_006983.1	MMP23B
chr1	1631377	1631378	1	+	NR_002946.1	MMP23A
chr1	1846265	1846266	1	+	NM_001330313.1	CALML6
chr1	1950767	1950768	1	+	NM_000815.4	GABRD
chr1	1981908	1981909	1	+	NM_002744.4	PRKCZ
chr1	2160133	2160134	1	+	NM_003036.3	SKI
chr1	2323213	2323214	1	+	NM_007033.4	RER1
chr1	2398897	2398898	1	+	NM_001303012.1	PLCH2
chr1	2487803	2487804	1	+	NM_001297605.1	TNFRSF14
chr1	2497973	2497974	1	+	NR_121638.1	LOC100996583
chr1	2517898	2517899	1	+	NR_036638.1	FAM213B
chr1	2938045	2938046	1	+	NM_080431.4	ACTRT2
chr1	2985741	2985742	1	+	NM_199454.2	PRDM16
chr1	3044538	3044539	1	+	NR_036215.1	MIR4251
chr1	3371146	3371147	1	+	NM_014448.3	ARHGEF16
chr1	3541555	3541556	1	+	NM_182752.3	TPRG1L
chr1	3569128	3569129	1	+	NM_001204186.1	TP73
chr1	3668964	3668965	1	+	NM_152492.2	CCDC27
chr1	3689324	3689325	1	+	NM_001288583.1	SMIM1
chr1	3773830	3773831	1	+	NM_004402.3	DFFB
chr1	3816967	3816968	1	+	NR_024455.1	LINC01134
chr1	4000671	4000672	1	+	NR_040065.1	LINC01346
chr1	4472110	4472111	1	+	NR_027088.1	LINC01777
chr1	4715104	4715105	1	+	NM_001042478.1	AJAP1
chr1	5624130	5624131	1	+	NR_039612.1	MIR4417
chr1	6052357	6052358	1	+	NM_001199861.1	KCNAB2
chr1	6266188	6266189	1	+	NM_207396.2	RNF207
chr1	6296299	6296300	1	+	NR_103534.1	LINC00337
chr1	6304251	6304252	1	+	NM_001024598.3	HES3
chr1	6484847	6484848	1	+	NM_031475.2	ESPN
chr1	6615337	6615338	1	+	NM_177540.2	TAS1R1
chr1	6640050	6640051	1	+	NM_001278647.1	ZBTB48
chr1	6673755	6673756	1	+	NM_153812.2	PHF13
chr1	6684924	6684925	1	+	NM_001195753.1	THAP3
chr1	6784804	6784805	1	+	NR_104620.1	LINC01672
chr1	6845383	6845384	1	+	NM_015215.3	CAMTA1
chr1	7831328	7831329	1	+	NM_004781.3	VAMP3
chr1	7844488	7844489	1	+	NM_016831.2	PER3
chr1	8021713	8021714	1	+	NM_001123377.1	PARK7
chr1	8268731	8268732	1	+	NR_125998.1	LINC01714
chr1	8378144	8378145	1	+	NM_001080397.2	SLC45A1
chr1	8484704	8484705	1	+	NR_125999.1	LOC102724552
chr1	8938893	8938894	1	+	NR_038351.1	ENO1-AS1
chr1	9005892	9005893	1	+	NM_001270500.1	CA6
chr1	9242262	9242263	1	+	NR_132738.1	LINC01759
chr1	9294862	9294863	1	+	NM_004285.3	H6PD
chr1	9352940	9352941	1	+	NM_025106.3	SPSB1
chr1	9599527	9599528	1	+	NM_032315.2	SLC25A33
chr1	9648931	9648932	1	+	NM_001010866.3	TMEM201
chr1	9711789	9711790	1	+	NM_005026.3	PIK3CD
chr1	10002980	10002981	1	+	NM_001297778.1	NMNAT1
chr1	10027438	10027439	1	+	NR_049882.1	MIR5697
chr1	10057254	10057255	1	+	NM_052960.2	RBP7
chr1	10093040	10093041	1	+	NM_006048.4	UBE4B
chr1	10270763	10270764	1	+	NM_183416.3	KIF1B
chr1	10287775	10287776	1	+	NR_036176.1	MIR1273D
chr1	10459048	10459049	1	+	NM_001304451.1	PGD
chr1	10490158	10490159	1	+	NM_199294.2	CENPS
chr1	10490158	10490159	1	+	NM_199006.2	APITD1-CORT
chr1	10509775	10509776	1	+	NM_001302.4	CORT
chr1	10535002	10535003	1	+	NM_004565.2	PEX14
chr1	11072678	11072679	1	+	NM_007375.3	TARDBP
chr1	11159731	11159732	1	+	NR_135062.1	LOC105376736
chr1	11203954	11203955	1	+	NR_046600.1	MTOR-AS1
chr1	11249345	11249346	1	+	NM_021146.3	ANGPTL7
chr1	11333254	11333255	1	+	NM_013319.2	UBIAD1
chr1	11539294	11539295	1	+	NM_020780.1	DISP3
chr1	11669587	11669588	1	+	NR_104624.1	LINC01647
chr1	11714431	11714432	1	+	NM_183412.2	FBXO44
chr1	11724149	11724150	1	+	NM_018438.5	FBXO6
chr1	11751780	11751781	1	+	NM_198545.3	DRAXIN
chr1	11796141	11796142	1	+	NM_001040195.1	AGTRAP
chr1	11822249	11822250	1	+	NM_001010881.1	C1orf167
chr1	11866152	11866153	1	+	NM_001256959.1	CLCN6
chr1	11900375	11900376	1	+	NR_037806.1	NPPA-AS1
chr1	11968210	11968211	1	+	NR_002754.2	RNU5E-1
chr1	11994723	11994724	1	+	NM_000302.3	PLOD1
chr1	12040237	12040238	1	+	NM_001127660.1	MFN2
chr1	12079298	12079299	1	+	NM_021933.3	MIIP
chr1	12089214	12089215	1	+	NR_106787.1	MIR6729
chr1	12123433	12123434	1	+	NM_001281430.2	TNFRSF8
chr1	12226999	12227000	1	+	NR_107000.1	MIR7846
chr1	12227059	12227060	1	+	NM_001066.2	TNFRSF1B
chr1	12251769	12251770	1	+	NR_039775.2	MIR4632
chr1	12290095	12290096	1	+	NM_018156.3	VPS13D
chr1	12567299	12567300	1	+	NR_003025.1	SNORA59A
chr1	12704565	12704566	1	+	NM_001013630.1	AADACL4
chr1	12776117	12776118	1	+	NR_111984.1	AADACL3
chr1	12806133	12806134	1	+	NM_001330361.1	C1orf158
chr1	12834990	12834991	1	+	NM_001080830.4	PRAMEF12
chr1	12851545	12851546	1	+	NM_023013.4	PRAMEF1
chr1	12916940	12916941	1	+	NM_023014.1	PRAMEF2
chr1	12976466	12976467	1	+	NM_001012277.4	PRAMEF7
chr1	13035498	13035499	1	+	NM_001099850.2	PRAMEF18
chr1	13194517	13194518	1	+	NR_111945.1	PRAMEF36P
chr1	13359818	13359819	1	+	NM_001013407.2	PRAMEF5
chr1	13409134	13409135	1	+	NM_001291381.1	PRAMEF33P
chr1	13641972	13641973	1	+	NM_001098376.2	PRAMEF15
chr1	13716091	13716092	1	+	NM_001099851.3	PRAMEF17
chr1	13736906	13736907	1	+	NM_001099852.2	PRAMEF20
chr1	13910251	13910252	1	+	NM_198389.2	PDPN
chr1	14026734	14026735	1	+	NM_001135610.1	PRDM2
chr1	14925212	14925213	1	+	NM_015209.2	KAZN
chr1	15479027	15479028	1	+	NM_001136217.1	TMEM51
chr1	15573767	15573768	1	+	NM_052929.1	FHAD1
chr1	15736390	15736391	1	+	NM_024329.5	EFHD2
chr1	15764937	15764938	1	+	NM_007272.2	CTRC
chr1	15783222	15783223	1	+	NM_033440.2	CELA2A
chr1	15802595	15802596	1	+	NM_015849.2	CELA2B
chr1	15853307	15853308	1	+	NM_001287811.1	DNAJC16
chr1	15943952	15943953	1	+	NM_032341.4	DDI2
chr1	15986207	15986208	1	+	NM_006511.2	RSC1A1
chr1	16010826	16010827	1	+	NM_015164.2	PLEKHM2
chr1	16062808	16062809	1	+	NM_207348.2	SLC25A34
chr1	16068986	16068987	1	+	NM_001013641.2	TMEM82
chr1	16085254	16085255	1	+	NM_017556.2	FBLIM1
